,Measured
1986-11-06 12:45:00.000000000,2.8
1987-11-17 17:43:48.000000000,4.1
1988-11-02 09:05:24.000000000,2.4
1989-09-30 18:08:59.999999991,2.1
1991-09-23 22:49:48.000000008,1.7
1992-10-11 11:07:47.999999991,3.4
1993-09-27 02:29:23.999999982,1.5
1994-09-27 08:29:23.999999982,2.0
1995-10-01 06:08:59.999999991,1.4
1996-10-15 02:47:24.000000000,1.73
1997-10-04 09:48:36.000000008,1.3
1998-10-01 00:09:00.000000034,1.4
1998-10-01 00:09:00.000000034,1.4
1999-04-05 06:48:35.999999965,1.3
1999-10-12 05:07:47.999999991,1.0
2000-11-27 22:42:36.000000000,1.7
2001-10-11 17:07:47.999999991,1.1
2002-10-22 22:06:36.000000025,1.4
2003-10-15 20:47:24.000000000,1.7
2004-10-18 18:27:00.000000017,2.4
2005-10-26 07:46:11.999999965,2.7
2006-10-22 22:06:36.000000025,4.6
2007-12-13 07:21:00.000000043,3.4
2008-11-13 08:04:12.000000025,5.9
2009-11-09 22:24:36.000000008,4.8
2010-12-13 01:20:59.999999965,5.2
2011-11-14 02:04:12.000000025,2.8
2012-10-29 17:25:47.999999974,3.1
2013-11-17 05:43:48.000000034,3.6
2014-02-05 14:15:00.000000000,4.7
2014-05-07 21:45:00.000000000,4.4
2014-08-03 13:35:23.999999991,3.8
2014-11-06 12:45:00.000000000,4.6
2015-02-05 20:15:00.000000000,3.9
2015-05-04 12:05:23.999999991,3.5
2015-08-03 19:35:23.999999991,3.6
2015-11-03 03:05:23.999999991,3.7
2016-02-02 10:35:23.999999991,3.6
2016-05-03 18:05:23.999999991,3.9
2016-08-03 01:35:23.999999991,4.1
2016-11-09 16:24:36.000000008,3.8
2017-02-23 14:33:00.000000060,3.6
2017-05-22 06:23:24.000000051,3.8
2017-08-25 05:33:00.000000060,4.7
2017-11-28 04:42:35.999999922,6.3
2018-02-27 12:12:35.999999922,5.1
2018-05-15 05:04:12.000000025,6.7
2018-08-29 03:12:35.999999922,7.0
2018-11-21 03:23:24.000000051,7.4
2019-02-24 02:32:59.999999904,6.4
2019-05-30 01:42:36.000000077,5.0
2019-08-22 01:53:24.000000051,5.3
2019-11-21 09:23:24.000000051,5.8
2020-01-26 03:16:11.999999965,4.8
2020-07-19 10:57:00.000000095,5.8
2020-10-26 01:46:11.999999965,5.7
2021-01-14 10:17:23.999999922,5.0
2021-04-15 17:47:23.999999922,4.4
2021-07-27 00:16:11.999999965,4.4
2021-10-26 07:46:11.999999965,6.3
2022-01-18 07:57:00.000000095,6.5
2022-04-19 15:27:00.000000095,6.7
2022-07-27 06:16:11.999999965,7.3
2022-10-11 23:07:48.000000069,7.5
2023-01-25 21:16:11.999999965,7.4
2023-04-05 06:48:35.999999887,7.0
2023-07-12 21:37:48.000000069,7.6
