Date,50th,1th,99th,5th,95th,10th,90th,25th,75th
1986-11-06 12:45:00.000000000,2.5833668096774636,1.7764329460273445,3.140461032746736,2.0207812716847218,2.9777750189107137,2.1825043352392917,2.9012195942442967,2.390057468479126,2.7574799378910186
1987-11-13 16:19:48.000000002,2.4692598404938497,1.8929414611134203,2.950771366718646,2.055232146269584,2.834374996666231,2.1170455608117,2.755175975635981,2.3267071048392403,2.6455129879535026
1988-11-19 19:54:36.000000005,2.3571148526070975,1.9171450405161097,2.75818592708184,2.0134458125597896,2.6635185786065345,2.089628313622263,2.590216988182204,2.2433221223405106,2.5015319570473324
1989-11-26 23:29:24.000000000,2.2265800551002837,1.8228847920116078,2.588498573170552,1.9131215563930628,2.468357620706951,1.9923677429494324,2.4229352204119405,2.119489669327754,2.342713401880797
1990-12-04 03:04:12.000000011,2.0992557632954094,1.6880473508778457,2.410444511421116,1.8109339269718319,2.3108006287407568,1.8964631587253795,2.2680232120287687,1.9964573562350474,2.2085786510730454
1991-12-11 06:39:00.000000023,1.964772703078862,1.6067540585914342,2.2443549807191716,1.717780050165269,2.1721217491890035,1.7935165855045683,2.130289627778387,1.8795035060979646,2.0603474228733267
1992-12-17 10:13:48.000000000,1.8470147297204618,1.5610487471635441,2.110059318476003,1.63330718785885,2.0327592921772637,1.6842733125784155,1.9845787450444092,1.7627145066014467,1.9197520653712612
1993-12-24 13:48:35.999999994,1.7318882128111917,1.4975403715843072,1.9829541501601535,1.569590429803532,1.910390505231408,1.6015870400261552,1.870529257214653,1.660714079024561,1.8060660830351032
1994-12-31 17:23:24.000000023,1.628327374431444,1.431826598741106,1.8829278998768626,1.4806369702722764,1.8137304614261809,1.5125198326243654,1.7732819331077048,1.5700142701663178,1.7034638524536416
1996-01-07 20:58:12.000000017,1.5436967622928803,1.3608661234844266,1.8034305589664104,1.4043703993093128,1.7186563389927016,1.4285790808921317,1.6771997851546294,1.4899439781745294,1.608876690815911
1997-01-14 00:33:00.000000046,1.4678376363558523,1.2932519053339546,1.715534825141661,1.3394861268718354,1.6350990553721614,1.3672782439305298,1.597904049004273,1.409554837575832,1.5236460990924776
1998-01-21 04:07:48.000000005,1.3994080523246737,1.2253938179704997,1.6499519153766806,1.2709586053505602,1.5461046764816757,1.296141641104574,1.5075232701947094,1.344340436438802,1.4530623090822687
1999-01-28 07:42:36.000000000,1.3475778699423606,1.1530932847988258,1.5738443810257343,1.2104671122481874,1.4962191317790523,1.2368119799857227,1.449919296565627,1.285666796378238,1.3987617349715002
2000-02-04 11:17:24.000000028,1.299343628727054,1.0821104124644683,1.5485935743621737,1.1498837941872426,1.4768738707937028,1.177462104740302,1.4367833815233622,1.232011267975086,1.3575221008191123
2001-02-10 14:52:11.999999979,1.268549160546791,1.0744987111415198,1.5605608922223648,1.1211760399698874,1.4830887134297548,1.1478183185765032,1.4142598742094132,1.210660056553786,1.3410974185248137
2002-02-17 18:27:00.000000017,1.3117394777267506,1.0881033149756096,1.6194910185500824,1.1491674801323897,1.5421793774803705,1.1811236190448042,1.4886543297215065,1.2358039296615877,1.3968680034346708
2003-02-24 22:01:48.000000046,1.4718163846609138,1.1835097288985679,1.7928828218766053,1.2523283676653139,1.7519476554000686,1.281524608282622,1.7085873896298118,1.3725499621853157,1.5631985127246877
2004-03-03 01:36:36.000000005,1.7841497968706796,1.2685611403412331,2.1715365816042054,1.4741997071862878,2.0553491963781116,1.5346281448955459,2.007704397122122,1.654184772216624,1.912558861784838
2005-03-10 05:11:24.000000034,2.214670878547129,1.4572483338103408,2.706415952189526,1.8024595303961488,2.532019537594762,1.9088368324116136,2.4784899284335156,2.061189669169741,2.352198606457142
2006-03-17 08:46:12.000000063,2.7392244173456524,1.8270448949740852,3.330938739489547,2.201499329387903,3.159551878348547,2.3482973284816646,3.0544012865061214,2.5593846960390048,2.919029808110889
2007-03-24 12:21:00.000000100,3.179562152987844,2.3196562352763346,3.9009921909262135,2.619641062311406,3.6901628341085946,2.7495004139870853,3.595157356264852,2.9849541078214727,3.405396115135515
2008-03-30 15:55:48.000000051,3.491626202712435,2.747123802465518,4.298543299095634,2.934770840946056,4.09148965596809,3.036505071420123,3.9568650074201135,3.2757879671494035,3.7496220528444253
2009-04-06 19:30:36.000000011,3.622133740310109,2.8668060941977562,4.440191069161113,3.1060213255581415,4.167624337468507,3.1823494868857427,4.0697509887675025,3.419155043132244,3.8202616901289717
2010-04-13 23:05:24.000000040,3.625263050187278,2.9248643319994914,4.409345185305371,3.0782076372977074,4.126437138828246,3.236154401361672,4.004443508746286,3.4334620522896637,3.802639605162698
2011-04-21 02:40:11.999999991,3.562855363169839,2.836817299244283,4.210750688131838,3.0738065487035477,4.025851330077623,3.1923314350294305,3.9022447341711617,3.3673321507723237,3.752353821984395
2012-04-27 06:15:00.000000106,3.5596087358399484,2.876764277228003,4.172868242701088,3.076806758572198,4.005949333875908,3.2190145910391132,3.879442448142896,3.3802552170723916,3.74155006799099
2013-05-04 09:49:48.000000057,3.5937704608332757,2.9561176317535374,4.166353188038784,3.1532570395103767,4.00225133680421,3.267216800271719,3.9051360028526676,3.4225385233974945,3.771089067878851
2014-05-11 13:24:36.000000008,3.7065591001530818,3.127103400532414,4.150279157711004,3.3357686115929677,4.029646123688487,3.3991035416955984,3.9699971696213607,3.524973099886016,3.851722541802069
2015-05-18 16:59:23.999999968,3.8055605283438156,3.36838527717763,4.32157535098261,3.461898037469995,4.17364531253851,3.536745658970737,4.08058165079728,3.6664739296773603,3.950923569255763
