,Measured
1993-10-28 00:00:00.000000000,3.5
1994-09-27 22:25:19.200000000,2.4
1995-03-21 21:20:09.600000000,3.28
1995-06-14 23:48:50.400000000,2.36
1995-09-11 00:25:12.000000000,2.67
1995-09-20 03:34:11.999999991,2.6
1995-12-08 01:01:33.600000008,3.3
1995-12-08 01:01:33.600000008,3.58
1996-03-03 23:20:02.400000000,2.93
1996-06-04 00:21:57.600000000,3.24
1996-08-28 02:50:38.400000000,2.8
1996-12-04 00:07:55.200000000,4.39
1997-03-04 22:51:57.599999991,3.7
1997-05-26 03:12:57.600000000,3.3
1997-09-14 21:36:43.200000000,3.2
1997-12-10 02:23:16.800000000,3.9
1997-12-10 02:23:16.800000000,3.9
1998-03-03 00:16:12.000000000,4.5
1998-06-08 04:01:33.599999982,3.2
1998-09-07 02:45:36.000000000,2.9
1998-09-07 02:45:36.000000000,2.9
1998-12-08 21:19:26.400000000,2.4
1999-03-02 03:58:19.199999982,3.2
1999-06-01 20:14:16.799999991,3.3
1999-09-05 21:41:45.600000000,2.7
1999-09-05 21:41:45.600000000,2.9
1999-12-05 20:25:48.000000017,3.2
2000-03-07 23:45:36.000000017,3.3
2000-06-06 22:29:38.399999991,4.0
2000-09-05 21:13:40.799999974,3.6
2000-09-05 21:13:40.799999974,3.5
2000-12-05 19:57:43.200000025,6.3
2001-03-07 03:27:43.200000025,5.7
2001-06-06 02:11:45.600000000,5.7
2001-09-05 00:55:48.000000017,4.1
2001-12-03 21:21:57.600000034,3.8
2001-12-03 21:21:57.600000034,3.7
2002-03-07 00:41:45.600000000,5.3
2002-06-07 01:43:40.800000008,4.4
2002-09-04 22:09:50.399999991,4.5
2002-12-01 22:46:12.000000000,4.4
2002-12-01 22:46:12.000000000,4.2
2003-03-05 19:37:55.200000017,3.8
2003-06-05 20:39:50.399999991,3.5
2003-09-01 03:44:16.799999991,3.9
2003-12-01 02:28:19.200000008,4.3
2003-12-01 02:28:19.200000008,4.5
2004-03-01 01:12:21.599999982,5.2
2004-06-04 00:21:57.600000034,3.7
2004-09-05 21:13:40.800000008,4.1
2004-12-09 02:51:21.599999974,4.2
2004-12-09 02:51:21.599999974,4.3
2005-03-03 03:02:09.600000025,4.4
2005-06-02 01:46:12.000000043,4.3
2005-09-05 00:55:47.999999974,4.4
2005-09-05 00:55:47.999999974,4.4
2005-12-04 23:39:50.399999991,4.1
2006-03-12 20:57:07.199999965,4.3
2006-06-08 04:01:33.600000043,3.9
2006-09-03 19:51:57.600000034,5.9
2006-09-03 19:51:57.600000034,5.5
2006-12-11 01:55:11.999999991,6.0
2007-03-06 21:55:47.999999974,4.6
2007-06-12 01:41:09.599999982,4.4
2007-09-02 23:34:04.800000000,5.1
2007-09-02 23:34:04.800000000,5.0
2007-12-02 22:18:07.200000008,5.2
2008-03-06 03:55:47.999999974,4.2
2008-06-02 22:04:04.800000000,4.1
2008-09-01 03:16:12.000000043,4.6
2008-09-01 03:16:12.000000043,4.8
2008-12-01 02:00:14.399999974,6.7
2009-03-02 00:44:16.799999991,5.7
2009-06-02 01:46:12.000000043,4.4
2009-09-01 00:30:14.399999974,5.7
2009-09-01 00:30:14.399999974,5.4
2009-11-30 23:14:16.799999991,4.5
2010-03-03 00:16:11.999999965,4.4
2010-05-31 20:42:21.600000017,3.8
2010-09-12 23:00:57.600000060,7.3
2010-09-12 23:00:57.600000060,7.1
2010-12-05 23:11:45.600000043,7.3
2011-03-24 01:55:55.200000000,5.1
2011-06-01 20:14:16.799999991,4.8
2011-09-01 03:44:16.799999991,6.0
2011-09-01 03:44:16.799999991,6.1
2011-12-05 02:53:52.800000086,6.5
2012-03-01 01:12:21.600000017,5.2
2012-06-05 02:39:50.399999991,5.5
2012-09-04 01:23:52.800000086,7.0
2012-09-04 01:23:52.800000086,7.2
2012-12-02 21:50:02.399999982,6.5
2013-03-03 20:34:04.800000000,5.4
2013-06-11 22:27:07.199999965,4.9
2014-03-01 21:58:19.199999930,6.9
2014-06-03 01:18:07.200000008,6.5
2014-12-01 22:46:11.999999965,9.5
2015-03-02 03:58:19.199999930,5.7
2015-06-08 01:15:35.999999982,5.8
2015-09-01 03:44:16.799999991,8.0
2015-09-01 03:44:16.799999991,7.7
2015-12-01 02:28:19.199999930,7.8
2016-06-29 22:45:07.200000025,5.1
2016-09-01 20:48:07.200000086,5.2
2016-09-01 20:48:07.200000086,6.0
2016-12-05 19:57:43.199999948,5.7
2017-03-14 02:00:57.600000060,6.2
2017-09-06 20:45:35.999999982,7.3
2018-09-06 00:27:43.199999948,9.4
2018-12-04 03:21:57.600000034,8.1
2019-03-10 22:21:21.600000051,8.7
2019-06-24 20:29:45.599999948,8.0
2019-09-05 04:09:50.399999913,8.6
2019-12-16 01:52:40.800000043,8.3
2020-03-03 23:20:02.400000060,7.5
2020-06-14 23:20:45.600000069,7.2
2020-09-10 23:57:07.199999965,6.7
2020-12-08 00:33:28.800000017,7.6
2021-03-03 20:34:04.800000000,6.9
2021-06-22 03:54:00.000000034,6.3
2021-09-21 20:09:57.599999939,7.2
2021-12-14 02:48:50.400000095,7.9
2022-03-16 03:50:45.600000069,8.1
2022-06-15 02:34:48.000000008,8.3
2022-09-08 22:35:23.999999991,9.1
2023-03-14 22:46:55.199999974,9.2
2023-06-14 23:48:50.400000095,8.2
