Date,50th,1th,99th,5th,95th,10th,90th,25th,75th
1994-09-13 12:24:00.000000000,4.116216342456317,3.3992071264524966,4.685468771721218,3.65866658868068,4.524381324557948,3.779047153706469,4.442577313517247,3.9258004134804905,4.290759720409031
1995-09-23 19:27:54.000000000,4.121492439029542,3.481028721255961,4.619835143949496,3.715575641162735,4.4820465544693135,3.8041616891668864,4.407465398227645,3.968216588435824,4.286675554516254
1996-10-03 02:31:48.000000000,4.137909041079727,3.5871494778253297,4.5606127240682355,3.7410314642493194,4.43811237606957,3.8365063641253037,4.377766970581165,3.9868779563824597,4.263609538051043
1997-10-13 09:35:42.000000008,4.150234702278131,3.6724279876428514,4.527575856276104,3.778961886918324,4.421253988803271,3.861769516275494,4.352080687614518,4.001908584618483,4.252639896444054
1998-10-23 16:39:36.000000000,4.140342975563995,3.720988427560899,4.52665100395597,3.829909476162789,4.40656821384008,3.896337288758159,4.346474703766646,4.010019271056801,4.253581283956219
1999-11-02 23:43:30.000000000,4.146235709286071,3.756461450631898,4.562127494075632,3.886248808742487,4.411388267102576,3.934663326749798,4.366962574327357,4.018267015553145,4.265535801217902
2000-11-12 06:47:24.000000008,4.190951674466582,3.8247094954592056,4.580252141033159,3.9500168000995384,4.436707788053113,3.986843883817006,4.392706418557619,4.06272717073283,4.296165508009546
2001-11-22 13:51:18.000000008,4.260311431153838,3.8913050614510016,4.6196131234675715,4.007746035906597,4.493943137201302,4.038691522719193,4.428388027747855,4.141619673320671,4.352544513438366
2002-12-02 20:55:12.000000000,4.339641276017662,3.9673741623432455,4.6650103721197445,4.064298930115569,4.565755892888191,4.126186752908928,4.523544467820299,4.220017644132515,4.435823572322516
2003-12-13 03:59:06.000000000,4.431696397124104,4.047505716841319,4.8048428014205395,4.146138100899177,4.687376630304595,4.220261575596465,4.629185356814904,4.317575160647079,4.536252662626166
2004-12-22 11:02:59.999999991,4.566507094849093,4.1684613543997635,4.994606100921653,4.290408718219927,4.861271274765315,4.35139628040323,4.792329273524813,4.450776041070664,4.678035780845898
2006-01-01 18:06:53.999999991,4.730342601888046,4.346227981808862,5.169841243606603,4.445017625657156,5.036487024693806,4.513891251302489,4.971702430931501,4.614035651196717,4.851870542338306
2007-01-12 01:10:48.000000025,4.920856819762479,4.509633989650626,5.385950427543952,4.633498068292226,5.242273611292515,4.699303301600604,5.164156967967355,4.8172701015584805,5.055143287400687
2008-01-22 08:14:42.000000060,5.15600430881776,4.7019628802706634,5.596236989023756,4.8337120043862996,5.463966292816253,4.911666099379644,5.396292619825664,5.037713592809431,5.2886571044275525
2009-01-31 15:18:36.000000008,5.4047105614192406,4.9379011652823825,5.827381122933929,5.060041670764962,5.731501616971702,5.13656944691906,5.640241468230779,5.257958204215188,5.528135014775419
2010-02-10 22:22:30.000000043,5.646611643222348,5.16202113565562,6.0677059719489455,5.298278671045387,5.980052486300562,5.383826080855467,5.886678109440447,5.509382685918444,5.775758223421267
2011-02-21 05:26:24.000000000,5.9075239633073995,5.395990897693472,6.341946412368711,5.558870712959674,6.237005653022657,5.618131826502179,6.17368990999081,5.763869130423421,6.058407656980741
2012-03-02 12:30:18.000000034,6.158986086753121,5.674999235614168,6.634247951040514,5.7971764380954145,6.497804205732346,5.8737776953278145,6.44110958196006,6.012425892270349,6.312267264517699
2013-03-12 19:34:11.999999991,6.391345635072725,5.873361418419481,6.851708403537836,6.010288329131078,6.753035355099308,6.11252586550327,6.683864815837511,6.240588882013036,6.547529099310928
2014-03-23 02:38:06.000000025,6.593454624604034,6.0703447088742655,7.101785700432892,6.2165014953144215,6.971684351135415,6.323352254924989,6.896590504187009,6.437394302306835,6.764470978370372
2015-04-02 09:41:59.999999982,6.792293223725768,6.2548442250221505,7.309255160356128,6.398920730841207,7.201318729406269,6.494937790441211,7.1055000483142745,6.64748058889789,6.967157869450107
2016-04-11 16:45:54.000000017,6.996585672170216,6.436062296325881,7.534204240285074,6.580253115087508,7.4248026888628615,6.689494156636135,7.325402366218786,6.837339733721433,7.178002144870569
2017-04-21 23:49:47.999999974,7.213929287510301,6.586415839997956,7.767576843874307,6.764191423715425,7.608567992785623,6.872032996495011,7.539317282352258,7.039046603616867,7.389211290887438
2018-05-02 06:53:41.999999930,7.4110636724078445,6.730817296145634,8.001714039077543,6.948484355815249,7.821224933126032,7.025917203381402,7.730440088081424,7.197990442418905,7.596104749934684
2019-05-12 13:57:36.000000043,7.592375108411247,6.873220708858549,8.180657437140232,7.0609740831978645,8.014738566791685,7.207811051075781,7.92558243947371,7.348968536906402,7.783067221438659
2020-05-21 21:01:30.000000155,7.736959357293929,6.919682958713588,8.374893556388463,7.16382094208394,8.225407222055622,7.317346926075236,8.13068694704159,7.483669700984715,7.9773969089319925
2021-06-01 04:05:24.000000112,7.868395942944536,6.867711647312838,8.596770093832554,7.222755063743764,8.414416171735075,7.354826588852402,8.284722739420625,7.574267045229701,8.120508626074491
2022-06-11 11:09:18.000000069,7.9509248888153525,6.794736407764179,8.797519885615,7.247417549460467,8.571618090847396,7.389064431874632,8.458714871092104,7.642945329486782,8.26937796956008
2023-06-21 18:13:12.000000025,8.053275443113645,6.710143224804467,9.096897940649553,7.258037498523498,8.77682778510609,7.406494021992648,8.653695576463313,7.700887609336029,8.424068496197396
2024-07-01 23:12:00.000000060,8.167640668927827,6.6614712944210135,9.465836907444887,7.212264183058518,9.043669754730255,7.426180378775646,8.899391929129624,7.766373058097613,8.594982233552992
