,Measured
1986-11-27 11:50:00.000000000,1.5
1987-11-24 02:10:24.000000000,1.4
1988-11-08 17:32:00.000000000,1.6
1989-10-03 10:56:00.000000008,1.5
1990-10-29 06:33:12.000000000,2.0
1991-09-30 07:16:23.999999991,1.8
1992-10-14 03:54:48.000000008,1.8
1993-09-29 19:16:23.999999991,2.0
1994-10-25 14:53:36.000000008,1.8
1995-09-19 08:17:36.000000000,1.8
1996-10-14 03:54:48.000000008,1.74
1997-09-29 19:16:23.999999991,1.4
1997-09-29 19:16:23.999999991,1.4
1998-09-08 03:18:47.999999956,1.9
1999-10-14 21:54:48.000000008,1.6
1999-10-14 21:54:48.000000008,1.6
2000-11-16 00:51:12.000000043,2.0
2001-09-26 03:36:48.000000025,2.1
2002-10-18 07:34:24.000000017,2.4
2003-10-14 21:54:48.000000008,2.1
2004-10-14 03:54:48.000000008,2.3
2005-10-18 01:34:24.000000017,2.3
2006-10-11 00:15:11.999999991,3.0
2007-10-18 13:34:24.000000017,2.7
2007-10-18 13:34:24.000000017,2.7
2008-11-16 00:51:11.999999965,2.7
2009-11-08 23:31:59.999999939,3.2
2011-10-11 06:15:11.999999991,4.4
2013-11-16 06:51:11.999999965,5.1
2014-10-21 23:14:00.000000034,5.4
2015-10-14 21:54:48.000000008,4.4
2016-11-01 10:12:48.000000069,4.5
2017-11-08 23:31:59.999999939,4.8
2017-11-08 23:31:59.999999939,4.8
2018-11-05 13:52:24.000000077,5.1
2019-11-20 10:30:47.999999974,5.0
2020-11-05 01:52:23.999999922,4.7
2021-11-01 16:12:48.000000069,4.5
2022-10-18 07:34:24.000000017,4.7
