Date,50th,1th,99th,5th,95th,10th,90th,25th,75th
1986-11-10 11:45:00.000000000,1.644575686840565,1.3450258163673598,1.9147509267100524,1.4347156983100335,1.8413951210193882,1.4711385145532172,1.8066019209379003,1.5445167120515912,1.7298444945772498
1987-11-11 09:41:17.454545453,1.638115468727062,1.408275312396467,1.8981155322416547,1.4739205977015553,1.8509833398102868,1.508488211194436,1.793367083684775,1.5676437469113453,1.7162679588836263
1988-11-11 07:37:34.909090916,1.6559837813775615,1.4482383344630645,1.8822050577566667,1.5212052189403882,1.827215372821442,1.5488234543786126,1.784549455378196,1.5949596053743855,1.714182800983986
1989-11-12 05:33:52.363636369,1.6644033529042899,1.4620953900969174,1.8591532342900723,1.5459204248589118,1.826131867313027,1.5679265827697118,1.791809123828372,1.615753215672049,1.7236775402989377
1990-11-13 03:30:09.818181823,1.674008057769332,1.4737821921221015,1.857538660047979,1.5505965864122115,1.829469099868424,1.58040606935602,1.7955324285227967,1.6228290304229631,1.732230310337804
1991-11-14 01:26:27.272727294,1.6842367397793454,1.4936286693483267,1.8687491085405954,1.5596870204990907,1.8349184404686554,1.587178086006955,1.8054854682035835,1.6326117297042748,1.7518510871569064
1992-11-13 23:22:44.727272748,1.7086531387570496,1.5185468110234717,1.8864858173499859,1.5778594943477378,1.8459498042262021,1.6043782610720176,1.8188023343443367,1.6450143667619717,1.7654674942128605
1993-11-14 21:19:02.181818219,1.7280705086570278,1.5355753295783456,1.9354279398464496,1.5836734083099469,1.8653564137464163,1.632059627274003,1.8326953393269918,1.6739482802675894,1.7859745521787187
1994-11-15 19:15:19.636363647,1.755831292479744,1.531425736628439,1.9754080533523755,1.6083407538320107,1.9114038333753978,1.6521177842578698,1.878369299007186,1.69240075100785,1.826896111972916
1995-11-16 17:11:37.090909118,1.7929225479173105,1.533614839812665,2.024593104186098,1.6167998383363844,1.9707046581771988,1.6672580637509435,1.9315326901220797,1.7235948047988883,1.8661992345454306
1996-11-16 15:07:54.545454589,1.8412723129616269,1.586036363084707,2.0615287190443974,1.6451877703155182,2.0199657341397232,1.711686344516982,1.978799055014967,1.7699636054882402,1.9058605601307324
1997-11-17 13:04:12.000000025,1.8995845298527854,1.671692764371438,2.1301958923621513,1.727205870971206,2.074225248681092,1.7734070027623259,2.031544279488406,1.8306378262644731,1.9653076658934454
1998-11-18 11:00:29.454545496,1.9671489807689337,1.7442978903143624,2.2258878507856603,1.8138923153014181,2.1487357037921972,1.850967070760065,2.0969300288845893,1.908485971435529,2.038350769737574
1999-11-19 08:56:46.909090968,2.0505572629656483,1.8368608595512643,2.3128933202297826,1.9124100849655021,2.2113698029768702,1.9413274354346284,2.17921256964977,1.9843950634124206,2.1168560212412935
2000-11-19 06:53:04.363636439,2.1340013593172067,1.9291860252375508,2.3786383299437532,1.9760390268146464,2.296861464821208,2.017814968855306,2.2752062940660642,2.0680875458787247,2.210765390390046
2001-11-20 04:49:21.818181910,2.2335177435881697,1.9581355921040593,2.448332976512895,2.0612449175951753,2.3997160954771726,2.0971137522887155,2.3750767489332802,2.162546647022887,2.3261217046959137
2002-11-21 02:45:39.272727303,2.3429361206709967,2.0000224233287027,2.5796010178765414,2.132765199953574,2.5158083836514034,2.1840513140162146,2.478900283023165,2.263913579419686,2.424077098792845
2003-11-22 00:41:56.727272774,2.468692929909843,2.1224564427834087,2.704984010261117,2.219054126878903,2.637891995438855,2.2846648441458095,2.597579120282824,2.3877314534667073,2.53115374551398
2004-11-21 22:38:14.181818245,2.5950056977365117,2.2640638762462473,2.84429756791904,2.339054162119803,2.807494492935599,2.399815290464071,2.7488789818336175,2.5059083061107565,2.671953812483049
2005-11-22 20:34:31.636363794,2.733360758732772,2.424245881308336,3.028721057110189,2.5126028578621113,2.9522644113665724,2.5654937667419238,2.912857128853518,2.6410334937768236,2.824049820899866
2006-11-23 18:30:49.090909187,2.8985653738111465,2.579345987514551,3.1921944620289366,2.691927705845125,3.1348503169424213,2.7212103928103533,3.072242944117446,2.795027300174568,2.985789126105812
2007-11-24 16:27:06.545454580,3.073124070829709,2.7728163655222806,3.40604439535022,2.8236499246545623,3.3273470877049407,2.900504271102485,3.275177194500926,2.9859176739081503,3.176034482899504
2008-11-24 14:23:24.000000051,3.2895753082591885,2.879303438271232,3.624281853800518,3.0018819432485127,3.547336179592447,3.085385662171229,3.4718419759935246,3.188442769639134,3.3853789677061057
2009-11-25 12:19:41.454545522,3.4833919440580874,2.9823981800436976,3.8787597084837784,3.1823718931147784,3.7393284606416746,3.250507860525088,3.6682871291690016,3.3682057413276536,3.5715974395717143
2010-11-26 10:15:58.909090993,3.631870658734272,3.0821131925225553,4.005557972088297,3.3158887669829173,3.8827556313240525,3.381580745367939,3.824761271563823,3.510014350064594,3.7334305040235636
2011-11-27 08:12:16.363636464,3.7519616971838485,3.21065745526657,4.154837768348584,3.434330793827728,4.034307632352776,3.509345839610227,3.9753453973830655,3.622255199595296,3.872780690991623
2012-11-27 06:08:33.818181936,3.8486870297028535,3.342798621319762,4.314066214453004,3.5243682864651174,4.204431190064144,3.604385298383885,4.105181392277565,3.7007362144876184,3.975324403924014
2013-11-28 04:04:51.272727407,3.924019995415889,3.442112885950223,4.407910540785567,3.622033938155716,4.306886933257116,3.6680649186389975,4.236308883197862,3.7978679261261514,4.092067293162033
2014-11-29 02:01:08.727272878,3.984432991569062,3.560386518080374,4.456920834270642,3.6941756949366176,4.363006605311345,3.7378690181245506,4.311921672801957,3.8595391688413767,4.1609570796152395
