,site_name,date,unclean_age,standard_deviation,f_p1,age,data_flag,age_type,database,alt_name,site_details,site_id,f_p2,frac_1,mrt1
9,M35/0172,1970-04-16 00:00:00,10,4.5,0.5,10.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
36,M35/1224,1970-07-24 00:00:00,22,10.0,0.4,22.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
42,M35/1255,1970-07-24 00:00:00,11,5.0,0.4,11.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
43,M35/1305,1970-07-24 00:00:00,15,7.0,0.4,15.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
51,M35/0732,1972-06-20 00:00:00,18,,0.5,18.0,single_value,tritium,ecan,nan,nan,nan,,,
52,M35/0758,1972-06-20 00:00:00,121,41.0,0.4,121.0,single_value_with_sd_>,tritium,ecan,nan,nan,nan,,,
54,M35/1252,1972-06-20 00:00:00,23,,0.4,23.0,single_value,tritium,ecan,nan,nan,nan,,,
56,M35/0480,1972-06-20 00:00:00,23,,0.4,23.0,single_value,tritium,ecan,nan,nan,nan,,,
61,O31/0109,1972-08-29 00:00:00,1,,0.6,1.0,single_value,tritium,ecan,nan,nan,nan,,,
63,O31/0104,1972-08-30 00:00:00,1,,0.6,1.0,single_value,tritium,ecan,nan,nan,nan,,,
65,O31/0110,1972-08-30 00:00:00,1,,0.6,1.0,single_value,tritium,ecan,nan,nan,nan,,,
69,O31/0086,1973-04-12 00:00:00,37,,0.6,37.0,single_value,tritium,ecan,nan,nan,nan,,,
70,O31/0001,1973-04-12 00:00:00,1,,0.6,1.0,single_value,tritium,ecan,nan,nan,nan,,,
72,M35/0444,1973-04-14 00:00:00,5,,0.5,5.0,single_value,tritium,ecan,nan,nan,nan,,,
73,M35/0443,1973-04-14 00:00:00,5,0.5,0.4,5.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
77,O31/0055,1973-10-23 00:00:00,1,,0.6,1.0,single_value,tritium,ecan,nan,nan,nan,,,
78,O31/0037,1973-10-23 00:00:00,1,,0.6,1.0,single_value,tritium,ecan,nan,nan,nan,,,
79,O31/0003,1973-10-23 00:00:00,26,13.0,0.6,26.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
85,M35/2158,1976-06-16 00:00:00,74,,,74.0,single_value,tritium,ecan,nan,nan,nan,,,
86,M35/2556,1976-06-16 00:00:00,61,,,61.0,single_value,tritium,ecan,nan,nan,nan,,,
96,O31/0090,1977-05-17 00:00:00,64,27.0,0.6,64.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
97,O31/0004,1977-06-14 00:00:00,>49,,0.6,49.0,>,tritium,ecan,nan,nan,nan,,,
112,M36/0631,1985-08-15 00:00:00,62,2.5,,62.0,single_value_with_sd_range,tritium,ecan,nan,nan,nan,,,
114,M36/0510,1985-08-15 00:00:00,67,4.25,,67.0,single_value_with_sd_range,tritium,ecan,nan,nan,nan,,,
116,M36/1298,1985-08-15 00:00:00,69,31.5,,69.0,single_value_with_sd_>,tritium,ecan,nan,nan,nan,,,
120,M36/1249,1985-08-19 00:00:00,66,4.75,,66.0,single_value_with_sd_range,tritium,ecan,nan,nan,nan,,,
125,M35/3772,1985-09-02 00:00:00,30,17.5,0.5,30.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
127,M35/3289,1985-09-02 00:00:00,>60,,0.4,60.0,>,tritium,ecan,nan,nan,nan,,,
139,M36/1245,1986-09-10 00:00:00,77,33.5,,77.0,single_value_with_sd_>,tritium,ecan,nan,nan,nan,,,
140,M35/1455,1986-09-10 00:00:00,28,,,28.0,single_value,tritium,ecan,nan,nan,nan,,,
141,M35/3637,1986-09-10 00:00:00,112,,,112.0,single_value,tritium,ecan,nan,nan,nan,,,
149,M35/1944,1986-09-11 00:00:00,39,,,39.0,single_value,tritium,ecan,nan,nan,nan,,,
240,M35/0737,1993-12-14 00:00:00,121,41.0,0.4,121.0,single_value_with_sd_>,tritium,ecan,nan,nan,nan,,,
241,M35/1455,1993-12-14 00:00:00,28,,,28.0,single_value,tritium,ecan,nan,nan,nan,,,
242,M35/7017,1993-12-14 00:00:00,21,,,21.0,single_value,tritium,ecan,nan,nan,nan,,,
250,M35/0925,1993-12-16 00:00:00,18,,,18.0,single_value,tritium,ecan,nan,nan,nan,,,
251,M35/3637,1994-04-06 00:00:00,102,,,102.0,single_value,tritium,ecan,nan,nan,nan,,,
275,M35/2249,1997-03-10 00:00:00,19,,,19.0,single_value,tritium,ecan,nan,nan,nan,,,
276,M35/1653,1997-03-10 00:00:00,10,,,10.0,single_value,tritium,ecan,nan,nan,nan,,,
277,M35/6791,1997-03-10 00:00:00,>77,,,77.0,>,tritium,ecan,nan,nan,nan,,,
278,M35/1255,1997-03-10 00:00:00,35,,0.4,35.0,single_value,tritium,ecan,nan,nan,nan,,,
279,M35/1224,1997-03-10 00:00:00,38,,0.4,38.0,single_value,tritium,ecan,nan,nan,nan,,,
280,M35/6654,1997-03-11 00:00:00,25,,,25.0,single_value,tritium,ecan,nan,nan,nan,,,
281,M35/3174,1997-03-11 00:00:00,40,,,40.0,single_value,tritium,ecan,nan,nan,nan,,,
282,M35/6935,1997-03-11 00:00:00,20,,,20.0,single_value,tritium,ecan,nan,nan,nan,,,
283,M35/3653,1997-03-12 00:00:00,0,,,0.0,single_value,tritium,ecan,nan,nan,nan,,,
284,M35/5119,1997-03-12 00:00:00,6,,,6.0,single_value,tritium,ecan,nan,nan,nan,,,
285,M35/2637,1997-03-13 00:00:00,45,,,45.0,single_value,tritium,ecan,nan,nan,nan,,,
286,M36/4126,1997-03-13 00:00:00,28,,,28.0,single_value,tritium,ecan,nan,nan,nan,,,
287,M35/7018,1997-03-13 00:00:00,17,,,17.0,single_value,tritium,ecan,nan,nan,nan,,,
288,M35/6946,1997-03-13 00:00:00,0,,,0.0,single_value,tritium,ecan,nan,nan,nan,,,
289,M35/6972,1997-03-13 00:00:00,28,,,28.0,single_value,tritium,ecan,nan,nan,nan,,,
290,M35/7161,1997-03-13 00:00:00,21,,,21.0,single_value,tritium,ecan,nan,nan,nan,,,
291,M36/5248,1997-03-14 00:00:00,31,,,31.0,single_value,tritium,ecan,nan,nan,nan,,,
292,M35/1864,1997-03-14 00:00:00,57,,,57.0,single_value,tritium,ecan,nan,nan,nan,,,
293,M35/0925,1997-03-14 00:00:00,22,,,22.0,single_value,tritium,ecan,nan,nan,nan,,,
302,M35/8001,1998-04-14 00:00:00,25,,,25.0,single_value,tritium,ecan,nan,nan,nan,,,
303,M35/8002,1998-04-14 00:00:00,3,,,3.0,single_value,tritium,ecan,nan,nan,nan,,,
304,M35/2325,1998-04-14 00:00:00,17,,,17.0,single_value,tritium,ecan,nan,nan,nan,,,
306,M35/2628,1998-04-15 00:00:00,1,,,1.0,single_value,tritium,ecan,nan,nan,nan,,,
307,M35/2528,1998-04-15 00:00:00,44,,,44.0,single_value,tritium,ecan,nan,nan,nan,,,
308,M35/1171,1998-04-15 00:00:00,73,,,73.0,single_value,tritium,ecan,nan,nan,nan,,,
309,M35/2054,1998-04-15 00:00:00,21,,,21.0,single_value,tritium,ecan,nan,nan,nan,,,
311,M36/5400,1998-04-16 00:00:00,26,,,26.0,single_value,tritium,ecan,nan,nan,nan,,,
313,M35/2242,1998-04-16 00:00:00,>78,,,78.0,>,tritium,ecan,nan,nan,nan,,,
314,M35/2159,1998-04-16 00:00:00,47,,,47.0,single_value,tritium,ecan,nan,nan,nan,,,
315,M36/1045,1998-04-16 00:00:00,24,,,24.0,single_value,tritium,ecan,nan,nan,nan,,,
317,M35/2379,1998-04-17 00:00:00,6,,,6.0,single_value,tritium,ecan,nan,nan,nan,,,
318,M36/4595,1998-04-17 00:00:00,>78,,,78.0,>,tritium,ecan,nan,nan,nan,,,
319,M36/5325,1998-04-17 00:00:00,>78,,,78.0,>,tritium,ecan,nan,nan,nan,,,
321,M36/1159,1998-04-17 00:00:00,60,,,60.0,single_value,tritium,ecan,nan,nan,nan,,,
322,L36/1203,1999-04-07 00:00:00,2,,,2.0,single_value,tritium,ecan,nan,nan,nan,,,
323,L36/0424,1999-04-07 00:00:00,44,,,44.0,single_value,tritium,ecan,nan,nan,nan,,,
324,L36/0477,1999-04-07 00:00:00,23,,,23.0,single_value,tritium,ecan,nan,nan,nan,,,
325,M36/3071,1999-04-08 00:00:00,>79,,,79.0,>,tritium,ecan,nan,nan,nan,,,
326,L36/0835,1999-04-08 00:00:00,8,,,8.0,single_value,tritium,ecan,nan,nan,nan,,,
327,L36/0598,1999-04-08 00:00:00,34,,,34.0,single_value,tritium,ecan,nan,nan,nan,,,
328,M37/0325,1999-04-08 00:00:00,20,,,20.0,single_value,tritium,ecan,nan,nan,nan,,,
329,L36/0421,1999-04-08 00:00:00,24,,,24.0,single_value,tritium,ecan,nan,nan,nan,,,
330,L36/0837,1999-04-09 00:00:00,43,,,43.0,single_value,tritium,ecan,nan,nan,nan,,,
331,L36/0472,1999-04-09 00:00:00,32,,,32.0,single_value,tritium,ecan,nan,nan,nan,,,
332,L36/0473,1999-04-09 00:00:00,20,,,20.0,single_value,tritium,ecan,nan,nan,nan,,,
333,L36/1055,1999-04-09 00:00:00,52,,,52.0,single_value,tritium,ecan,nan,nan,nan,,,
334,L36/1139,1999-04-09 00:00:00,48,,,48.0,single_value,tritium,ecan,nan,nan,nan,,,
335,L36/0590,1999-04-12 00:00:00,36,,,36.0,single_value,tritium,ecan,nan,nan,nan,,,
336,M36/3184,1999-04-12 00:00:00,26,,,26.0,single_value,tritium,ecan,nan,nan,nan,,,
337,L36/1136,1999-04-12 00:00:00,42,,,42.0,single_value,tritium,ecan,nan,nan,nan,,,
338,M36/0160,1999-04-13 00:00:00,27,,,27.0,single_value,tritium,ecan,nan,nan,nan,,,
339,M36/4897,1999-04-13 00:00:00,>49,,,49.0,>,tritium,ecan,nan,nan,nan,,,
340,M36/4283,1999-04-13 00:00:00,150,,,150.0,single_value,tritium,ecan,nan,nan,nan,,,
341,M36/3994,1999-04-13 00:00:00,48,,,48.0,single_value,tritium,ecan,nan,nan,nan,,,
342,M36/4151,1999-04-14 00:00:00,29,,,29.0,single_value,tritium,ecan,nan,nan,nan,,,
343,L36/1240,1999-04-14 00:00:00,39,,,39.0,single_value,tritium,ecan,nan,nan,nan,,,
344,L35/0199,1999-04-14 00:00:00,23,,,23.0,single_value,tritium,ecan,nan,nan,nan,,,
345,M36/4948,1999-04-14 00:00:00,48,,,48.0,single_value,tritium,ecan,nan,nan,nan,,,
346,L35/0334,1999-04-15 00:00:00,<12,3.0,,6.0,<,tritium,ecan,nan,nan,nan,,,
347,L35/0210,1999-04-15 00:00:00,>49,,,49.0,>,tritium,ecan,nan,nan,nan,,,
349,M36/3162,1999-04-16 00:00:00,30,,,30.0,single_value,tritium,ecan,nan,nan,nan,,,
351,M35/5841,1999-04-19 00:00:00,23,,,23.0,single_value,tritium,ecan,nan,nan,nan,,,
352,M35/7628,1999-04-19 00:00:00,26,,,26.0,single_value,tritium,ecan,nan,nan,nan,,,
353,M35/0950,1999-04-19 00:00:00,2,,,2.0,single_value,tritium,ecan,nan,nan,nan,,,
354,M36/3036,1999-04-20 00:00:00,39,,,39.0,single_value,tritium,ecan,nan,nan,nan,,,
355,M35/3637,1999-04-20 00:00:00,107,,,107.0,single_value,tritium,ecan,nan,nan,nan,,,
356,M36/2768,1999-04-20 00:00:00,>79,,,79.0,>,tritium,ecan,nan,nan,nan,,,
357,M36/4656,1999-04-21 00:00:00,>80,,,80.0,>,tritium,ecan,nan,nan,nan,,,
358,M36/2691,1999-04-21 00:00:00,48,,,48.0,single_value,tritium,ecan,nan,nan,nan,,,
360,M35/1083,1999-04-22 00:00:00,21,,,21.0,single_value,tritium,ecan,nan,nan,nan,,,
361,M37/0106,1999-04-22 00:00:00,56,,,56.0,single_value,tritium,ecan,nan,nan,nan,,,
362,M36/2746,1999-04-22 00:00:00,48,,,48.0,single_value,tritium,ecan,nan,nan,nan,,,
363,L36/1224,1999-04-22 00:00:00,38,,,38.0,single_value,tritium,ecan,nan,nan,nan,,,
364,N34/0107,1999-04-23 00:00:00,>79,,,79.0,>,tritium,ecan,nan,nan,nan,,,
365,M36/5190,1999-04-23 00:00:00,25,,,25.0,single_value,tritium,ecan,nan,nan,nan,,,
366,M34/0578,1999-04-23 00:00:00,>79,,,79.0,>,tritium,ecan,nan,nan,nan,,,
367,M34/0707,1999-04-23 00:00:00,71,,,71.0,single_value,tritium,ecan,nan,nan,nan,,,
368,N34/0106,1999-04-23 00:00:00,75,,,75.0,single_value,tritium,ecan,nan,nan,nan,,,
369,M34/0672,1999-04-24 00:00:00,>79,,,79.0,>,tritium,ecan,nan,nan,nan,,,
370,M34/0581,1999-04-24 00:00:00,69,,,69.0,single_value,tritium,ecan,nan,nan,nan,,,
371,N34/0127,1999-04-24 00:00:00,46,,,46.0,single_value,tritium,ecan,nan,nan,nan,,,
372,M35/5599,2000-02-07 00:00:00,>50,,,50.0,>,tritium,ecan,nan,nan,nan,,,
373,M35/7024,2000-02-07 00:00:00,>60,,,60.0,>,tritium,ecan,nan,nan,nan,,,
374,M35/7688,2000-02-07 00:00:00,<11,2.75,0.4,5.5,<,tritium,ecan,nan,nan,nan,,,
375,M35/4223,2000-02-07 00:00:00,20,,0.5,20.0,single_value,tritium,ecan,nan,nan,nan,,,
376,M35/8381,2000-02-08 00:00:00,51,,0.5,51.0,single_value,tritium,ecan,nan,nan,nan,,,
377,M35/6385,2000-02-08 00:00:00,33,,0.5,33.0,single_value,tritium,ecan,nan,nan,nan,,,
378,M35/2716,2000-02-08 00:00:00,22,,0.5,22.0,single_value,tritium,ecan,nan,nan,nan,,,
379,M35/3289,2000-02-08 00:00:00,>60,,0.4,60.0,>,tritium,ecan,nan,nan,nan,,,
380,M35/6427,2000-02-08 00:00:00,30,,0.5,30.0,single_value,tritium,ecan,nan,nan,nan,,,
381,M35/2589,2000-02-09 00:00:00,151,41.0,0.4,151.0,single_value_with_sd_>,tritium,ecan,nan,nan,nan,,,
382,M35/2879,2000-02-09 00:00:00,10,,0.5,10.0,single_value,tritium,ecan,nan,nan,nan,,,
383,M35/2914,2000-02-09 00:00:00,6,,0.5,6.0,single_value,tritium,ecan,nan,nan,nan,,,
384,M35/0225,2000-02-09 00:00:00,35,,0.4,35.0,single_value,tritium,ecan,nan,nan,nan,,,
385,M35/7542,2000-02-09 00:00:00,>80,,,80.0,>,tritium,ecan,nan,nan,nan,,,
386,M35/0174,2000-02-10 00:00:00,35,,0.5,35.0,single_value,tritium,ecan,nan,nan,nan,,,
387,L35/0577,2000-02-10 00:00:00,64,35.5,0.4,64.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
388,M35/4874,2000-02-10 00:00:00,25,,0.5,25.0,single_value,tritium,ecan,nan,nan,nan,,,
389,L35/0349,2000-02-10 00:00:00,0,,0.4,0.0,single_value,tritium,ecan,nan,nan,nan,,,
390,M35/5585,2000-02-10 00:00:00,26,,,26.0,single_value,tritium,ecan,nan,nan,nan,,,
391,M35/6662,2000-02-11 00:00:00,>80,,0.4,80.0,>,tritium,ecan,nan,nan,nan,,,
392,L35/0623,2000-02-11 00:00:00,44,,,44.0,single_value,tritium,ecan,nan,nan,nan,,,
393,L35/0192,2000-02-11 00:00:00,45,,,45.0,single_value,tritium,ecan,nan,nan,nan,,,
394,M35/0834,2000-02-11 00:00:00,>80,,0.5,80.0,>,tritium,ecan,nan,nan,nan,,,
395,L36/1309,2000-02-14 00:00:00,37,,,37.0,single_value,tritium,ecan,nan,nan,nan,,,
396,L36/0934,2000-02-14 00:00:00,<12,3.0,,6.0,<,tritium,ecan,nan,nan,nan,,,
397,L36/1242,2000-02-14 00:00:00,37,,,37.0,single_value,tritium,ecan,nan,nan,nan,,,
398,K36/0104,2000-02-15 00:00:00,21,,,21.0,single_value,tritium,ecan,nan,nan,nan,,,
399,L36/0948,2000-02-15 00:00:00,34,,,34.0,single_value,tritium,ecan,nan,nan,nan,,,
400,K36/0210,2000-02-15 00:00:00,43,,,43.0,single_value,tritium,ecan,nan,nan,nan,,,
401,K36/0019,2000-02-15 00:00:00,25,,,25.0,single_value,tritium,ecan,nan,nan,nan,,,
402,K36/0012,2000-02-15 00:00:00,0,,,0.0,single_value,tritium,ecan,nan,nan,nan,,,
403,L37/0405,2000-02-16 00:00:00,38,,,38.0,single_value,tritium,ecan,nan,nan,nan,,,
404,L37/0403,2000-02-16 00:00:00,28,,,28.0,single_value,tritium,ecan,nan,nan,nan,,,
405,L37/0710,2000-02-16 00:00:00,49,,,49.0,single_value,tritium,ecan,nan,nan,nan,,,
406,L37/0197,2000-02-16 00:00:00,15,,,15.0,single_value,tritium,ecan,nan,nan,nan,,,
407,L37/0138,2000-02-16 00:00:00,43,,,43.0,single_value,tritium,ecan,nan,nan,nan,,,
408,L37/0556,2000-02-17 00:00:00,27,,,27.0,single_value,tritium,ecan,nan,nan,nan,,,
409,L37/0415,2000-02-17 00:00:00,35,,,35.0,single_value,tritium,ecan,nan,nan,nan,,,
410,L37/0754,2000-02-17 00:00:00,50,,,50.0,single_value,tritium,ecan,nan,nan,nan,,,
411,L36/0905,2000-02-17 00:00:00,>50,,,50.0,>,tritium,ecan,nan,nan,nan,,,
412,L37/0147,2000-02-17 00:00:00,47,,,47.0,single_value,tritium,ecan,nan,nan,nan,,,
413,L37/0867,2000-02-18 00:00:00,7,,,7.0,single_value,tritium,ecan,nan,nan,nan,,,
414,L37/0693,2000-02-18 00:00:00,46,,,46.0,single_value,tritium,ecan,nan,nan,nan,,,
415,N34/0139,2000-02-19 00:00:00,74,,,74.0,single_value,tritium,ecan,nan,nan,nan,,,
416,N34/0049,2000-02-19 00:00:00,29,,,29.0,single_value,tritium,ecan,nan,nan,nan,,,
417,N34/0131,2000-02-19 00:00:00,75,,,75.0,single_value,tritium,ecan,nan,nan,nan,,,
418,N34/0110,2000-02-19 00:00:00,78,,,78.0,single_value,tritium,ecan,nan,nan,nan,,,
419,M34/0677,2000-02-19 00:00:00,18,,,18.0,single_value,tritium,ecan,nan,nan,nan,,,
420,M34/0692,2000-02-19 00:00:00,43,,,43.0,single_value,tritium,ecan,nan,nan,nan,,,
421,K38/0674,2000-07-05 00:00:00,55,,,55.0,single_value,tritium,ecan,nan,nan,nan,,,
422,M35/3086,2000-09-22 00:00:00,>69,,,69.0,>,tritium,ecan,nan,nan,nan,,,
423,M35/8542,2000-09-22 00:00:00,>61,,,61.0,>,tritium,ecan,nan,nan,nan,,,
424,M35/1052,2000-11-21 00:00:00,5,,,5.0,single_value,tritium,ecan,nan,nan,nan,,,
425,M35/1096,2000-11-21 00:00:00,5,,,5.0,single_value,tritium,ecan,nan,nan,nan,,,
426,M35/1045,2000-11-21 00:00:00,5,,,5.0,single_value,tritium,ecan,nan,nan,nan,,,
427,M36/5377,2001-02-12 00:00:00,>61,,,61.0,>,tritium,ecan,nan,nan,nan,,,
428,M36/0870,2001-02-12 00:00:00,>61,,,61.0,>,tritium,ecan,nan,nan,nan,,,
429,M36/0872,2001-02-12 00:00:00,>61,,,61.0,>,tritium,ecan,nan,nan,nan,,,
430,M36/1862,2001-02-12 00:00:00,>61,,,61.0,>,tritium,ecan,nan,nan,nan,,,
431,M36/0573,2001-02-12 00:00:00,35,,,35.0,single_value,tritium,ecan,nan,nan,nan,,,
432,M36/4680,2001-02-12 00:00:00,29,,,29.0,single_value,tritium,ecan,nan,nan,nan,,,
433,M36/4795,2001-02-12 00:00:00,>61,,,61.0,>,tritium,ecan,nan,nan,nan,,,
434,M36/1965,2001-02-12 00:00:00,>61,,,61.0,>,tritium,ecan,nan,nan,nan,,,
435,M36/3074,2001-02-13 00:00:00,51,,,51.0,single_value,tritium,ecan,nan,nan,nan,,,
436,M36/0026,2001-02-13 00:00:00,46,,,46.0,single_value,tritium,ecan,nan,nan,nan,,,
437,M36/2298,2001-02-13 00:00:00,51,,,51.0,single_value,tritium,ecan,nan,nan,nan,,,
438,M36/3924,2001-02-13 00:00:00,>61,,,61.0,>,tritium,ecan,nan,nan,nan,,,
439,M36/3922,2001-02-13 00:00:00,>61,,,61.0,>,tritium,ecan,nan,nan,nan,,,
440,L36/0725,2001-02-13 00:00:00,34,,,34.0,single_value,tritium,ecan,nan,nan,nan,,,
441,M36/4699,2001-02-13 00:00:00,55,,,55.0,single_value,tritium,ecan,nan,nan,nan,,,
442,M37/0106,2001-02-14 00:00:00,>61,,,61.0,>,tritium,ecan,nan,nan,nan,,,
443,L37/0545,2001-02-14 00:00:00,28,,,28.0,single_value,tritium,ecan,nan,nan,nan,,,
444,L36/0421,2001-02-14 00:00:00,30,,,30.0,single_value,tritium,ecan,nan,nan,nan,,,
445,M36/0698,2001-02-14 00:00:00,27,,,27.0,single_value,tritium,ecan,nan,nan,nan,,,
446,M36/2746,2001-02-14 00:00:00,55,,,55.0,single_value,tritium,ecan,nan,nan,nan,,,
447,M36/4700,2001-02-14 00:00:00,>61,,,61.0,>,tritium,ecan,nan,nan,nan,,,
448,M36/0670,2001-02-14 00:00:00,>61,,,61.0,>,tritium,ecan,nan,nan,nan,,,
449,M35/3673,2001-02-16 00:00:00,45,,,45.0,single_value,tritium,ecan,nan,nan,nan,,,
450,M35/2873,2001-02-16 00:00:00,29,,,29.0,single_value,tritium,ecan,nan,nan,nan,,,
451,M35/5579,2001-02-16 00:00:00,34,,,34.0,single_value,tritium,ecan,nan,nan,nan,,,
452,M35/3174,2001-02-16 00:00:00,42,,,42.0,single_value,tritium,ecan,nan,nan,nan,,,
453,L35/0191,2001-02-16 00:00:00,49,,,49.0,single_value,tritium,ecan,nan,nan,nan,,,
454,L36/1313,2001-02-16 00:00:00,28,,,28.0,single_value,tritium,ecan,nan,nan,nan,,,
455,M36/2694,2001-10-31 00:00:00,7,,0.2,7.0,single_value,tritium,ecan,nan,nan,nan,,,
456,M36/0008,2001-10-31 00:00:00,7,,0.2,7.0,single_value,tritium,ecan,nan,nan,nan,,,
457,M36/5777,2001-10-31 00:00:00,7,,0.2,7.0,single_value,tritium,ecan,nan,nan,nan,,,
458,M36/2693,2001-10-31 00:00:00,7,,0.2,7.0,single_value,tritium,ecan,nan,nan,nan,,,
467,K37/0492,2002-10-29 00:00:00,27,,,27.0,single_value,tritium,ecan,nan,nan,nan,,,
468,K37/0516,2002-10-29 00:00:00,63,,,63.0,single_value,tritium,ecan,nan,nan,nan,,,
470,M35/8604,2003-01-10 00:00:00,11,,0.6,11.0,single_value,tritium,ecan,nan,nan,nan,,,
475,K38/1380,2003-07-02 00:00:00,4,,0.6,4.0,single_value,tritium,ecan,nan,nan,nan,,,
476,K38/1379,2003-07-02 00:00:00,5,,0.6,5.0,single_value,tritium,ecan,nan,nan,nan,,,
477,K38/1381,2003-07-02 00:00:00,3,,0.6,3.0,single_value,tritium,ecan,nan,nan,nan,,,
478,M36/2857,2003-12-12 00:00:00,>100,,0.9,100.0,>,tritium,ecan,nan,nan,nan,,,
480,K37/1285,2004-02-20 00:00:00,>100,,0.9,100.0,>,tritium,ecan,nan,nan,nan,,,
491,M36/7504,2004-05-06 00:00:00,>100,,0.9,100.0,>,tritium,ecan,nan,nan,nan,,,
492,M36/7533,2004-05-07 00:00:00,>100,,0.9,100.0,>,tritium,ecan,nan,nan,nan,,,
516,K38/1700,2004-12-03 00:00:00,>100,,0.9,100.0,>,tritium,ecan,nan,nan,nan,,,
517,K38/0014,2004-12-03 00:00:00,>100,,0.9,100.0,>,tritium,ecan,nan,nan,nan,,,
518,K38/1701,2004-12-03 00:00:00,>100,,0.9,100.0,>,tritium,ecan,nan,nan,nan,,,
519,K38/0619,2004-12-03 00:00:00,>100,,0.9,100.0,>,tritium,ecan,nan,nan,nan,,,
520,K38/0618,2004-12-03 00:00:00,>100,,0.9,100.0,>,tritium,ecan,nan,nan,nan,,,
521,K38/0394,2004-12-15 00:00:00,>100,,0.9,100.0,>,tritium,ecan,nan,nan,nan,,,
522,K38/0679,2004-12-15 00:00:00,>100,,0.9,100.0,>,tritium,ecan,nan,nan,nan,,,
524,L36/0317,2005-01-31 00:00:00,1,,0.5,1.0,single_value,tritium,ecan,nan,nan,nan,,,
526,L36/1288,2005-01-31 00:00:00,61,,0.5,61.0,single_value,tritium,ecan,nan,nan,nan,,,
528,L36/1635,2005-01-31 00:00:00,>70,,0.5,70.0,>,tritium,ecan,nan,nan,nan,,,
529,L36/1334,2005-02-01 00:00:00,70,,0.5,70.0,single_value,tritium,ecan,nan,nan,nan,,,
532,L36/0059,2005-02-01 00:00:00,1,,0.5,1.0,single_value,tritium,ecan,nan,nan,nan,,,
536,M35/6201,2005-04-15 00:00:00,2,,0.9,2.0,single_value,tritium,ecan,nan,nan,nan,,,
549,L37/0020,2005-05-09 00:00:00,65,,0.5,65.0,single_value,tritium,ecan,nan,nan,nan,,,
550,L37/0932,2005-05-09 00:00:00,2,,0.5,2.0,single_value,tritium,ecan,nan,nan,nan,,,
551,L37/0297,2005-05-09 00:00:00,5,,0.5,5.0,single_value,tritium,ecan,nan,nan,nan,,,
552,L37/0964,2005-05-09 00:00:00,3,,0.5,3.0,single_value,tritium,ecan,nan,nan,nan,,,
553,L37/0309,2005-05-09 00:00:00,9,,0.5,9.0,single_value,tritium,ecan,nan,nan,nan,,,
554,L37/0781,2005-05-10 00:00:00,5,,0.5,5.0,single_value,tritium,ecan,nan,nan,nan,,,
555,L36/1242,2005-05-10 00:00:00,67,,0.5,67.0,single_value,tritium,ecan,nan,nan,nan,,,
556,L37/1181,2005-05-10 00:00:00,5,,0.5,5.0,single_value,tritium,ecan,nan,nan,nan,,,
557,L37/0754,2005-05-10 00:00:00,62,,0.5,62.0,single_value,tritium,ecan,nan,nan,nan,,,
558,L37/0349,2005-05-11 00:00:00,61,,0.5,61.0,single_value,tritium,ecan,nan,nan,nan,,,
559,L37/1076,2005-05-11 00:00:00,65,,0.5,65.0,single_value,tritium,ecan,nan,nan,nan,,,
560,L37/1182,2005-05-11 00:00:00,11,,0.5,11.0,single_value,tritium,ecan,nan,nan,nan,,,
561,L37/0147,2005-05-11 00:00:00,78,,0.5,78.0,single_value,tritium,ecan,nan,nan,nan,,,
562,L36/0948,2005-05-12 00:00:00,10,,0.5,10.0,single_value,tritium,ecan,nan,nan,nan,,,
563,L37/0403,2005-05-12 00:00:00,4,,0.5,4.0,single_value,tritium,ecan,nan,nan,nan,,,
564,K36/0197,2005-05-12 00:00:00,5,,0.5,5.0,single_value,tritium,ecan,nan,nan,nan,,,
565,L37/0415,2005-05-12 00:00:00,60,,0.5,60.0,single_value,tritium,ecan,nan,nan,nan,,,
578,M35/1382,2005-08-05 00:00:00,<1,0.25,0.9,0.5,<,tritium,ecan,nan,nan,nan,,,
579,M35/5866,2005-08-05 00:00:00,<1,0.25,0.9,0.5,<,tritium,ecan,nan,nan,nan,,,
580,M35/10233,2005-09-29 00:00:00,98,40.0,0.4,98.0,single_value_with_sd_>,tritium,ecan,nan,nan,nan,,,
581,M35/3336,2005-09-29 00:00:00,80,38.0,0.4,80.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
582,L36/0579,2006-02-28 00:00:00,2,,0.5,2.0,single_value,tritium,ecan,nan,nan,nan,,,
583,L35/0666,2006-02-28 00:00:00,2,,0.5,2.0,single_value,tritium,ecan,nan,nan,nan,,,
584,L36/0737,2006-02-28 00:00:00,<2,0.5,0.5,1.0,<,tritium,ecan,nan,nan,nan,,,
585,M35/3637,2006-04-13 00:00:00,105,,,105.0,single_value,tritium,ecan,nan,nan,nan,,,
607,L37/1139,2006-05-19 00:00:00,71,,,71.0,single_value,tritium,ecan,nan,nan,nan,,,
609,K37/1284,2006-05-19 00:00:00,27,,,27.0,single_value,tritium,ecan,nan,nan,nan,,,
