ref,nztm_x,nztm_y,top_screen,aquifer_type,formation,alt_name,bore_depth,bottom_screen,database,site_location,screen_range,lithology,altitude,site_id,regional_council,report_source,region,water_level_bgl_m,elevation,no_ages,start_date,end_date,f_p1,f_p2,frac_1,mrt1,age_min,age_max,age_mean,age_std,age_median,org_ref
m35_0172,1541661.0,5194833.0,69.8,None,None,None,69.8,69.8,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1970-04-16 00:00:00,1970-04-16 00:00:00,0.5,,,,10.0,10.0,10.0,,10.0,M35/0172
m35_0758,1572423.0,5197600.0,95.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-06-20 00:00:00,1972-06-20 00:00:00,0.4,,,,121.0,121.0,121.0,,121.0,M35/0758
m35_1976,1572546.0,5182178.0,143.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1993-12-15 00:00:00,2006-04-13 00:00:00,,,,,1173.0,1184.0,1178.5,7.7781745930520225,1178.5,M35/1976
m35_2242,1578746.0,5180060.0,48.4,None,None,None,48.4,48.4,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1998-04-16 00:00:00,1998-04-16 00:00:00,,,,,78.0,78.0,78.0,,78.0,M35/2242
m35_2158,1571815.0,5180243.0,133.1,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,3.0,1976-06-16 00:00:00,1986-09-10 00:00:00,,,,,74.0,339.0,177.0,142.01056298740596,118.0,M35/2158
m36_1225,1568860.0,5176422.0,32.3,None,None,None,32.3,32.29999924,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,2017-09-19 00:00:00,2017-09-19 00:00:00,,,,,41.0,41.0,41.0,,41.0,M36/1225
m35_2556,1570537.0,5182198.0,152.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,1976-06-16 00:00:00,2006-04-13 00:00:00,,,,,61.0,1028.0,527.5,484.18763580523887,510.5,M35/2556
o31_0003,1656287.0,5308633.0,17.2,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-10-23 00:00:00,1973-10-23 00:00:00,0.6,,,,26.0,26.0,26.0,,26.0,O31/0003
m35_1224,1570439.0,5188955.0,120.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,1970-07-24 00:00:00,1997-03-10 00:00:00,0.4,,,,22.0,50.0,38.0,11.775681155103795,40.0,M35/1224
m35_1252,1575235.0,5192037.0,30.5,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-06-20 00:00:00,1972-06-20 00:00:00,0.4,,,,23.0,23.0,23.0,,23.0,M35/1252
m35_0732,1573598.0,5196582.0,21.3,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-06-20 00:00:00,1972-06-20 00:00:00,0.5,,,,18.0,18.0,18.0,,18.0,M35/0732
m35_0443,1576091.0,5207796.0,21.0,None,None,None,21.0,21.0,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-04-14 00:00:00,1973-04-14 00:00:00,0.4,,,,5.0,5.0,5.0,,5.0,M35/0443
m35_0444,1577285.0,5207538.0,58.2,None,None,None,58.2,58.2,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-04-14 00:00:00,1973-04-14 00:00:00,0.5,,,,5.0,5.0,5.0,,5.0,M35/0444
m35_0480,1576202.0,5201724.0,33.5,None,None,None,33.5,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-06-20 00:00:00,1972-06-20 00:00:00,0.4,,,,23.0,23.0,23.0,,23.0,M35/0480
m35_1255,1570469.0,5189025.0,27.7,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,1970-07-24 00:00:00,1997-03-10 00:00:00,0.4,,,,11.0,45.0,31.0,14.329456840136451,34.0,M35/1255
m35_1305,1571199.0,5188785.0,70.1,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1970-07-24 00:00:00,1970-07-24 00:00:00,0.4,,,,15.0,15.0,15.0,,15.0,M35/1305
m35_2557,1564692.0,5183059.0,17.0,None,None,None,17.0,17.0,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,2006-12-13 00:00:00,2006-12-13 00:00:00,0.9,,,,2.0,2.0,2.0,,2.0,M35/2557
o31_0091,1651800.0,5307153.0,21.9,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,3.0,2009-03-18 00:00:00,2009-03-18 00:00:00,0.9,,,,74.0,320.0,196.33333333333334,123.00541993478716,195.0,O31/0091
o31_0109,1652180.0,5308332.0,27.1,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-08-29 00:00:00,1972-08-29 00:00:00,0.6,,,,1.0,1.0,1.0,,1.0,O31/0109
o31_0090,1655478.0,5306832.0,,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1977-05-17 00:00:00,1977-05-17 00:00:00,0.6,,,,64.0,64.0,64.0,,64.0,O31/0090
o31_0104,1658079.0,5312830.0,13.7,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-08-30 00:00:00,1972-08-30 00:00:00,0.6,,,,1.0,1.0,1.0,,1.0,O31/0104
o31_0110,1653746.0,5310341.0,9.14,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-08-30 00:00:00,1972-08-30 00:00:00,0.6,,,,1.0,1.0,1.0,,1.0,O31/0110
o31_0086,1651580.0,5307333.0,24.9,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-04-12 00:00:00,1973-04-12 00:00:00,0.6,,,,37.0,37.0,37.0,,37.0,O31/0086
o31_0001,1655978.0,5305733.0,8.2,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-04-12 00:00:00,1973-04-12 00:00:00,0.6,,,,1.0,1.0,1.0,,1.0,O31/0001
o31_0085,1653367.0,5307607.0,28.3,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,2009-03-19 00:00:00,2009-03-19 00:00:00,0.83,,,,50.0,50.0,50.0,,50.0,O31/0085
o31_0004,1655458.0,5306802.0,24.3,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1977-06-14 00:00:00,1977-06-14 00:00:00,0.6,,,,49.0,49.0,49.0,,49.0,O31/0004
o31_0055,1654799.0,5307922.0,38.1,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-10-23 00:00:00,1973-10-23 00:00:00,0.6,,,,1.0,1.0,1.0,,1.0,O31/0055
o31_0037,1650181.0,5309332.0,17.6,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-10-23 00:00:00,1973-10-23 00:00:00,0.6,,,,1.0,1.0,1.0,,1.0,O31/0037
m36_0981,1567121.0,5177567.0,178.3,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,6.0,1976-06-15 00:00:00,2017-09-19 00:00:00,,,,,210.0,1755.0,1109.3333333333333,568.653380071434,1150.0,M36/0981
m35_2266,1576927.0,5182377.0,149.0,None,None,None,149.0,146.90001,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,1976-06-15 00:00:00,2017-09-19 00:00:00,,,,,210.0,1452.0,784.0,591.880055416636,737.0,M35/2266
m36_0870,1561008.0,5174026.0,98.9,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,2001-02-12 00:00:00,2009-11-06 00:00:00,0.6,,,,61.0,130.0,83.75,31.4364438192363,72.0,M36/0870
m36_0631,1557805.0,5167692.0,52.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1985-08-15 00:00:00,1985-08-15 00:00:00,,,,,62.0,62.0,62.0,,62.0,M36/0631
m36_0515,1557560.0,5166771.0,16.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,2011-05-24 00:00:00,2011-05-24 00:00:00,,,,,141.0,141.0,141.0,,141.0,M36/0515
m36_0510,1557017.0,5167468.0,103.6,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1985-08-15 00:00:00,1985-08-15 00:00:00,,,,,67.0,67.0,67.0,,67.0,M36/0510
m36_1245,1552508.0,5175295.0,113.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1986-09-10 00:00:00,1986-09-10 00:00:00,,,,,77.0,77.0,77.0,,77.0,M36/1245
m36_1298,1555337.0,5172709.0,38.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1985-08-15 00:00:00,1985-08-15 00:00:00,,,,,69.0,69.0,69.0,,69.0,M36/1298
m36_0253,1553549.0,5171933.0,26.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,3.0,2011-06-17 00:00:00,2011-06-17 00:00:00,,,,,44.5,44166.0,18389.833333333332,22980.201339051262,10959.0,M36/0253
m36_1249,1557092.0,5168152.0,38.7,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1985-08-19 00:00:00,1985-08-19 00:00:00,,,,,66.0,66.0,66.0,,66.0,M36/1249
m35_3637,1559704.0,5182168.0,140.0,None,None,None,140.0,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,11.0,1986-09-10 00:00:00,2017-09-20 00:00:00,,,,,20.0,426.0,135.9090909090909,114.56129760565264,107.0,M35/3637
l35_0205,1520408.0,5180579.0,28.0,None,None,None,28.0,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,2005-01-31 00:00:00,2005-01-31 00:00:00,0.5,,,,26.0,35.0,30.5,6.363961030678928,30.5,L35/0205
l35_0191,1536265.0,5183933.0,115.2,None,None,None,115.200005,115.200005,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,2001-02-16 00:00:00,2010-08-26 00:00:00,0.64,,,,33.0,50.0,43.75,7.804912982645398,46.0,L35/0191
m35_3772,1568980.0,5198941.0,16.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1985-09-02 00:00:00,1985-09-02 00:00:00,0.5,,,,30.0,30.0,30.0,,30.0,M35/3772
m35_2589,1552038.0,5204990.0,73.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,5.0,2000-02-09 00:00:00,2006-06-21 00:00:00,0.6,,,,79.0,151.0,100.0,29.546573405388315,85.0,M35/2589
m35_3289,1569300.0,5198781.0,77.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,1985-09-02 00:00:00,2000-02-08 00:00:00,0.4,,,,50.0,75.0,61.25,10.30776406404415,60.0,M35/3289
m36_2746,1543374.0,5154009.0,73.6,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,6.0,1999-04-22 00:00:00,2010-08-26 00:00:00,0.20000000000000004,,,,41.0,61.0,49.666666666666664,7.941452428030195,50.0,M36/2746
m36_0670,1543553.0,5154440.0,56.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,2001-02-14 00:00:00,2009-11-06 00:00:00,0.6,,,,41.0,112.0,65.75,31.9100297712177,55.0,M36/0670
m35_2637,1547548.0,5179977.0,60.3,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-03-13 00:00:00,1997-03-13 00:00:00,,,,,45.0,45.0,45.0,,45.0,M35/2637
m35_1455,1563170.0,5186482.0,9.5,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1986-09-10 00:00:00,1993-12-14 00:00:00,,,,,28.0,28.0,28.0,0.0,28.0,M35/1455
m35_1944,1569406.0,5183360.0,37.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1986-09-11 00:00:00,1986-09-11 00:00:00,,,,,39.0,59.0,49.0,14.142135623730951,49.0,M35/1944
m35_1945,1569405.0,5183361.0,73.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1986-09-11 00:00:00,1986-09-11 00:00:00,,,,,607.0,607.0,607.0,,607.0,M35/1945
m35_2682,1569859.0,5179478.0,79.9,None,None,None,79.9,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1986-09-12 00:00:00,1986-09-12 00:00:00,,,,,972.0,972.0,972.0,,972.0,M35/2682
m36_3071,1555512.0,5176086.0,163.0,None,None,None,163.0,163.0,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-08 00:00:00,1999-04-08 00:00:00,,,,,48.0,79.0,63.5,21.920310216782973,63.5,M36/3071
m36_2768,1562584.0,5156677.0,88.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-20 00:00:00,1999-04-20 00:00:00,,,,,59.0,79.0,69.0,14.142135623730951,69.0,M36/2768
m35_0751,1571958.0,5195381.0,15.8,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1987-09-01 00:00:00,1987-09-01 00:00:00,,,,,3470.0,3470.0,3470.0,,3470.0,M35/0751
m35_0737,1572080.0,5197697.0,132.6,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,3.0,1993-09-29 00:00:00,1993-12-14 00:00:00,0.4,,,,121.0,1864.0,1061.6666666666667,879.6955912890171,1200.0,M35/0737
m35_7017,1543959.0,5185635.0,8.2,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1993-12-14 00:00:00,1993-12-14 00:00:00,,,,,21.0,21.0,21.0,,21.0,M35/7017
m36_4565,1570528.0,5178103.0,166.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1993-12-15 00:00:00,2006-04-13 00:00:00,,,,,650.0,1755.0,1202.5,781.352993211135,1202.5,M36/4565
m35_6038,1576930.0,5182389.0,433.0,None,None,None,147.0,147.0,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1993-12-15 00:00:00,2006-04-13 00:00:00,,,,,1564.0,1731.0,1647.5,118.08683245815344,1647.5,M35/6038
m35_6667,1567125.0,5181957.0,213.7,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,1993-12-15 00:00:00,2017-09-19 00:00:00,,,,,210.0,970.0,716.0,342.80509525579305,842.0,M35/6667
m35_5135,1575608.0,5178668.0,155.4,None,None,None,155.40001,153.1,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1993-12-16 00:00:00,1993-12-16 00:00:00,,,,,1695.0,1695.0,1695.0,,1695.0,M35/5135
m35_0925,1542314.0,5185673.0,53.8,None,None,None,53.8,53.8,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1993-12-16 00:00:00,1997-03-14 00:00:00,,,,,18.0,22.0,20.0,2.8284271247461903,20.0,M35/0925
m36_1159,1575462.0,5176574.0,33.8,None,None,None,33.8,33.5,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1998-04-17 00:00:00,1998-04-17 00:00:00,,,,,60.0,60.0,60.0,,60.0,M36/1159
m35_2249,1562485.0,5181455.0,25.9,None,None,None,25.9,23.300001,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-03-10 00:00:00,1997-03-10 00:00:00,,,,,19.0,19.0,19.0,,19.0,M35/2249
m35_1653,1564296.0,5185982.0,22.2,None,None,None,22.2,22.2,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,1997-03-10 00:00:00,2017-09-12 00:00:00,0.9,,,,0.5,10.0,3.125,4.589389937671455,1.0,M35/1653
m35_6791,1562469.0,5181460.0,189.2,,,,200.2,200.0,,,,,,,,,,,,3.0,1997-03-10 00:00:00,2007-06-11 00:00:00,0.6996503496503497,1.0,1.0,150.0,77.0,155.0,127.33333333333333,43.66157731156003,150.0,
m35_6654,1550197.0,5183766.0,36.5,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-03-11 00:00:00,1997-03-11 00:00:00,,,,,25.0,25.0,25.0,,25.0,M35/6654
m35_3174,1548865.0,5181307.0,65.6,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,5.0,1997-03-11 00:00:00,2010-08-26 00:00:00,0.4000000000000001,,,,27.0,42.0,37.4,5.9833101206606365,40.0,M35/3174
m35_6935,1550410.0,5185931.0,28.7,None,None,None,28.7,28.70000076,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-03-11 00:00:00,1997-03-11 00:00:00,,,,,20.0,20.0,20.0,,20.0,M35/6935
m35_3653,1563471.0,5185206.0,17.5,None,None,None,17.5,17.5,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-03-12 00:00:00,1997-03-12 00:00:00,,,,,0.0,0.0,0.0,,0.0,M35/3653
m35_5119,1554539.0,5183216.0,30.0,None,None,None,30.0,30.0,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-03-12 00:00:00,1997-03-12 00:00:00,,,,,6.0,6.0,6.0,,6.0,M35/5119
m36_4126,1549151.0,5177595.0,34.1,None,None,None,34.1,34.1,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-03-13 00:00:00,1997-03-13 00:00:00,,,,,28.0,28.0,28.0,,28.0,M36/4126
m35_7018,1543959.0,5185645.0,29.25,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-03-13 00:00:00,1997-03-13 00:00:00,,,,,17.0,17.0,17.0,,17.0,M35/7018
m35_6946,1554138.0,5187471.0,17.5,None,None,None,17.5,17.5,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-03-13 00:00:00,1997-03-13 00:00:00,,,,,0.0,0.0,0.0,,0.0,M35/6946
m35_6972,1559544.0,5182542.0,36.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-03-13 00:00:00,1997-03-13 00:00:00,,,,,28.0,28.0,28.0,,28.0,M35/6972
m35_7161,1550567.0,5181387.0,36.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-03-13 00:00:00,1997-03-13 00:00:00,,,,,21.0,21.0,21.0,,21.0,M35/7161
m36_5248,1552688.0,5173901.0,32.0,None,None,None,32.0,32.0,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-03-14 00:00:00,1997-03-14 00:00:00,,,,,31.0,31.0,31.0,,31.0,M36/5248
m35_1864,1561619.0,5178526.0,72.8,None,None,None,72.8,72.8,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1997-03-14 00:00:00,2017-09-21 00:00:00,,,,,57.0,99.0,78.0,29.698484809834994,78.0,M35/1864
m35_7720,1560403.0,5187185.0,13.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-07-29 00:00:00,1997-07-29 00:00:00,,,,,1120.0,1120.0,1120.0,,1120.0,M35/7720
m35_8001,1567049.0,5187794.0,,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1998-04-14 00:00:00,1998-04-14 00:00:00,,,,,25.0,25.0,25.0,,25.0,M35/8001
m35_8002,1565942.0,5180966.0,,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1998-04-14 00:00:00,1998-04-14 00:00:00,,,,,3.0,3.0,3.0,,3.0,M35/8002
m35_2325,1570117.0,5181184.0,31.7,None,None,None,31.7,31.7,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1998-04-14 00:00:00,2017-09-14 00:00:00,,,,,17.0,179.0,98.0,114.5512985522207,98.0,M35/2325
m35_2628,1566677.0,5184638.0,32.4,None,None,None,32.4,32.4,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1998-04-15 00:00:00,2004-11-24 00:00:00,0.55,,,,1.0,34.0,17.5,23.33452377915607,17.5,M35/2628
m35_2528,1572947.0,5183410.0,41.7,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1998-04-15 00:00:00,1998-04-15 00:00:00,,,,,44.0,44.0,44.0,,44.0,M35/2528
m35_1171,1575575.0,5185295.0,39.6,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1998-04-15 00:00:00,1998-04-15 00:00:00,,,,,73.0,73.0,73.0,,73.0,M35/1171
m35_2054,1567588.0,5182944.0,68.2,None,None,None,68.200005,68.200005,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1998-04-15 00:00:00,2017-09-15 00:00:00,,,,,21.0,198.0,109.5,125.15790027001891,109.5,M35/2054
m36_5400,1562623.0,5173988.0,,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1998-04-16 00:00:00,1998-04-16 00:00:00,,,,,26.0,26.0,26.0,,26.0,M36/5400
m35_2159,1572556.0,5182178.0,39.6,None,None,None,39.600002,39.600002,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1998-04-16 00:00:00,1998-04-16 00:00:00,,,,,47.0,47.0,47.0,,47.0,M35/2159
m36_1045,1574424.0,5178232.0,34.1,None,None,None,34.100002,34.100002,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1998-04-16 00:00:00,2017-09-14 00:00:00,,,,,24.0,132.0,78.0,76.36753236814714,78.0,M36/1045
m35_2379,1567101.0,5181958.0,22.2,None,None,None,22.2,22.2,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1998-04-17 00:00:00,2006-12-13 00:00:00,0.2,,,,5.0,6.0,5.5,0.7071067811865476,5.5,M35/2379
m36_4595,1574901.0,5176987.0,74.7,None,None,None,74.700005,74.700005,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1998-04-17 00:00:00,1998-04-17 00:00:00,,,,,78.0,78.0,78.0,,78.0,M36/4595
m36_5325,1575999.0,5177457.0,33.0,None,None,None,33.0,33.0,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1998-04-17 00:00:00,1998-04-17 00:00:00,,,,,78.0,78.0,78.0,,78.0,M36/5325
l36_1203,1522251.0,5158706.0,25.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-07 00:00:00,1999-04-07 00:00:00,,,,,1.0,2.0,1.5,0.7071067811865476,1.5,L36/1203
l36_0424,1522099.0,5161682.0,92.0,None,None,None,92.0,92.0,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-07 00:00:00,1999-04-07 00:00:00,,,,,43.0,44.0,43.5,0.7071067811865476,43.5,L36/0424
l36_0477,1525063.0,5157762.0,48.0,None,None,None,48.0,48.0,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-07 00:00:00,1999-04-07 00:00:00,,,,,12.0,23.0,17.5,7.7781745930520225,17.5,L36/0477
l36_0835,1536512.0,5149302.0,11.2,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-08 00:00:00,1999-04-08 00:00:00,,,,,8.0,8.0,8.0,0.0,8.0,L36/0835
l36_0598,1535180.0,5148955.0,48.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-08 00:00:00,1999-04-08 00:00:00,,,,,26.0,34.0,30.0,5.656854249492381,30.0,L36/0598
m37_0325,1541255.0,5146083.0,11.85,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-08 00:00:00,1999-04-08 00:00:00,,,,,12.0,20.0,16.0,5.656854249492381,16.0,M37/0325
l36_0421,1539774.0,5148851.0,27.0,None,None,None,27.0,27.0,ecan,nan,nan,nan,,nan,nan,nan,nan,,,6.0,1999-04-08 00:00:00,2009-11-06 00:00:00,0.9,,,,11.0,39.0,23.166666666666668,10.147249216741779,21.5,L36/0421
l36_0837,1526415.0,5161894.0,48.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-09 00:00:00,1999-04-09 00:00:00,,,,,32.0,43.0,37.5,7.7781745930520225,37.5,L36/0837
l36_0472,1532044.0,5163061.0,63.5,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-09 00:00:00,1999-04-09 00:00:00,,,,,12.0,32.0,22.0,14.142135623730951,22.0,L36/0472
l36_0473,1531974.0,5163161.0,12.2,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-09 00:00:00,1999-04-09 00:00:00,,,,,17.0,20.0,18.5,2.1213203435596424,18.5,L36/0473
l36_1055,1520377.0,5165629.0,108.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-09 00:00:00,1999-04-09 00:00:00,,,,,51.0,52.0,51.5,0.7071067811865476,51.5,L36/1055
l36_1139,1525612.0,5161101.0,83.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-09 00:00:00,1999-04-09 00:00:00,,,,,46.0,48.0,47.0,1.4142135623730951,47.0,L36/1139
l36_0590,1529213.0,5174809.0,60.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-12 00:00:00,1999-04-12 00:00:00,,,,,25.0,36.0,30.5,7.7781745930520225,30.5,L36/0590
m36_3184,1546888.0,5156836.0,21.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-12 00:00:00,1999-04-12 00:00:00,,,,,23.0,26.0,24.5,2.1213203435596424,24.5,M36/3184
l36_1136,1524156.0,5175344.0,36.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-12 00:00:00,1999-04-12 00:00:00,,,,,31.0,42.0,36.5,7.7781745930520225,36.5,L36/1136
m36_0160,1560664.0,5168032.0,12.5,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-13 00:00:00,1999-04-13 00:00:00,,,,,13.0,27.0,20.0,9.899494936611665,20.0,M36/0160
m36_4897,1543407.0,5159599.0,36.02,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-13 00:00:00,1999-04-13 00:00:00,,,,,45.0,49.0,47.0,2.8284271247461903,47.0,M36/4897
m36_4283,1554387.0,5164663.0,84.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-13 00:00:00,1999-04-13 00:00:00,,,,,38.0,150.0,94.0,79.19595949289332,94.0,M36/4283
m36_3994,1542451.0,5158994.0,62.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-13 00:00:00,1999-04-13 00:00:00,,,,,48.0,51.0,49.5,2.1213203435596424,49.5,M36/3994
m36_4151,1544665.0,5172397.0,34.1,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-14 00:00:00,1999-04-14 00:00:00,,,,,27.0,29.0,28.0,1.4142135623730951,28.0,M36/4151
l36_1240,1534507.0,5176052.0,66.0,None,None,None,66.0,66.0,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-14 00:00:00,1999-04-14 00:00:00,,,,,33.0,39.0,36.0,4.242640687119285,36.0,L36/1240
l35_0199,1521516.0,5185284.0,53.8,None,None,None,53.8,53.8,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1999-04-14 00:00:00,1999-04-14 00:00:00,,,,,15.0,23.0,19.0,5.656854249492381,19.0,L35/0199
