Date,50th,1th,99th,5th,95th,10th,90th,25th,75th
1969-07-21 21:47:36.000000000,3.21314262806658,2.711469629082194,3.804501829222113,2.850016951843561,3.593453737120593,2.921781525698515,3.5013808542986253,3.0684061300943357,3.363094726544687
1970-01-16 21:07:59.999999983,3.552477353212081,1.902207731710748,5.489189512551901,2.222484423134386,4.849292978570834,2.468436130231835,4.483994405427481,3.004025858382704,4.102399562232084
1970-07-14 20:28:23.999999975,3.6777855896945715,1.6915868890066514,5.716186088827186,1.919698395300359,5.2405303901289555,2.3307660560435712,4.859916751005245,3.048384039698544,4.298467529171081
1971-01-13 11:28:23.999999975,3.877470466624864,1.5113776969510488,6.481474073741582,2.0063695478557078,5.659831172799245,2.353421186105858,5.40226201412845,3.0330859283085645,4.618376917301865
1971-07-11 10:48:47.999999957,4.160371508410204,1.3776746887913411,6.633391528939929,2.0298886382083605,6.119232989356404,2.4677797925016614,5.69343920491416,3.2681891599777986,4.927009950365468
1972-01-06 10:09:12.000000026,4.262837471006549,1.2707465581999582,7.503351911942297,2.09599763946417,6.384830018603954,2.5602998259551715,5.89037691729287,3.262624831884035,5.1148305139525165
1972-07-07 01:09:12.000000026,4.538802814250388,1.3996212342859111,8.08345603976304,2.2164547860960058,7.072215309143561,2.920850353850043,6.401720825618408,3.5587076490080225,5.398783472995992
1973-01-02 00:29:36.000000009,4.924688525568817,1.6177318276786488,7.892328078148614,2.342344091941663,7.276629639209263,2.9210444296845828,6.695972165686012,3.802282184827587,6.021221537885998
1973-06-29 23:50:00.000000000,4.846555591498141,1.621270297605027,7.752971893487671,2.6052668945854474,7.042542668537332,3.097744969632078,6.542713185667533,3.9980574336205024,5.734566675443173
1973-12-25 23:10:23.999999992,4.968441114033895,1.6005024362844842,7.595616215063126,2.7553762710897614,6.7748148824576955,3.2185857614935247,6.477584794845739,4.119190536082525,5.808832456002072
1974-06-26 14:10:23.999999992,5.071596805534357,1.84073716347488,8.001588228769338,2.934325534842739,7.239261008654577,3.3382551647531518,6.752376751705709,4.03095788971077,5.890634900879979
1974-12-22 13:30:47.999999975,5.12517057703448,1.8238041153540718,8.742393493844057,3.0013623391557327,7.721280898009882,3.4988428740141506,7.008508710933266,4.252642568584004,6.168760173400209
1975-06-19 12:51:12.000000044,5.12168197812921,2.827189747927351,8.379228718239839,3.2893366752539683,7.306555672467895,3.616565160224815,6.809434992538028,4.355675454389071,5.972962463437251
1975-12-19 03:51:12.000000000,5.592317715608609,2.49839451966833,8.127881593197657,3.1682825735553246,7.591059980665621,3.581837385382502,7.103211358293845,4.7100143890077275,6.338430814636712
1976-06-15 03:11:36.000000026,5.910651389171837,2.3931781390198754,8.686810832047932,3.3361678673065853,7.841336705441308,3.873594319535462,7.4977652048446295,4.910178774849738,6.8214318443630795
1976-12-11 02:31:59.999999975,6.229754729489786,2.7934946591696552,8.677913778214961,3.8983277645028838,8.044866215853396,4.493449611051193,7.788811742292412,5.270153362666556,7.070960749436349
1977-06-08 01:52:24.000000000,6.583744959225619,3.0088041140254704,9.382548143731599,4.370384859575277,8.634764531813303,4.965535114178673,8.240023918155464,5.6399165582801905,7.399820402012396
1977-12-07 16:52:24.000000000,6.424856824108155,3.411823210292569,9.595933479451917,4.427707441726947,8.635545425246358,4.8020872905934455,8.147783319740876,5.5367005839616255,7.366502357499042
1978-06-04 16:12:47.999999992,6.313644699470692,3.726815051864591,10.52644493320746,4.4514813877988475,8.701443450661667,4.619479892951642,8.120219227140428,5.3954492449716795,7.335432280150232
1978-11-30 15:33:12.000000018,6.177253275798173,2.989299106715826,9.33947275729044,4.110495007269497,8.416601757719915,4.5059256864702375,7.963313881809547,5.22614272431412,7.134836323610411
1979-06-01 06:33:12.000000018,5.882819792115463,3.3432347004390843,8.89824191111878,3.9152740957054446,8.102417986002955,4.341061521342787,7.728577453427054,4.934894258488223,6.943486993565269
1979-11-27 05:53:36.000000009,5.84034315057661,3.05595296236564,8.821038661538424,3.7398294172323343,8.107978621102918,4.150196781553752,7.780241874438389,4.865310122251865,6.7973362496161025
1980-05-24 05:13:59.999999992,5.428744492744524,2.502574043668973,8.149182365922286,3.0856414066683437,7.523246593607899,3.655397559249963,7.119364837078671,4.537625822400237,6.321458636841123
1980-11-19 04:34:23.999999983,5.083132739651177,1.9838525100204718,8.097735741296024,2.899913266746357,7.2587213466156095,3.5011173897973014,6.695009099094681,4.132049077366221,5.899065364607141
1981-05-20 19:34:24.000000000,4.797824977716868,2.5187490393841903,7.573046887281961,2.9887818788495575,6.716612669076212,3.3439950124951157,6.352551724447899,3.986935816858359,5.568663716961386
1981-11-15 18:54:48.000000009,4.407827318989497,1.6824077383016744,8.313683016475462,2.620347960861657,6.7740432463081905,3.152817933965131,6.132605585733459,3.7901597644326666,5.254208389900017
1982-05-13 18:15:11.999999992,4.216265501949648,1.7368748814494392,8.523758056622249,2.2752145300707207,6.547959786412536,2.695471569022081,6.010956556427102,3.4843255493583225,5.103836932178815
1982-11-08 17:35:36.000000000,4.048885716628262,1.3645302882105397,8.706673204649437,2.0874722292293884,6.341404659834658,2.355709741862123,5.650067929345156,3.0173727289788994,4.796510273437703
1983-05-10 08:35:36.000000000,3.777155622076394,1.0930781860508751,7.110328173890628,1.725325475213013,5.779011277731581,2.1682766526023687,5.341091639121206,2.9230864699343853,4.640504179493911
1983-11-05 07:56:00.000000009,3.3422358985651317,0.879312615766646,6.3957512668754894,1.4531667048053138,5.434507026612977,1.8904064944009664,5.094431622847038,2.525950905098711,4.259004730122621
