,Measured
1986-09-29 13:20:00.000000000,2.8
1987-11-05 07:56:00.000000000,3.6
1988-11-15 12:54:48.000000000,4.1
1989-11-19 10:34:24.000000000,3.7
1990-10-03 04:59:35.999999991,2.9
1990-11-08 17:35:36.000000000,3.5
1991-12-11 20:32:00.000000000,3.3
1992-09-21 18:00:48.000000017,3.3
1993-09-25 15:40:23.999999991,3.7
1994-11-08 17:35:35.999999982,3.8
1995-09-22 12:00:48.000000017,3.9
1996-09-10 19:01:59.999999974,4.1
1997-11-30 09:33:12.000000017,4.5
1998-11-08 17:35:35.999999982,4.8
1999-11-19 22:34:24.000000017,4.4
2000-10-31 22:16:24.000000034,4.0
2001-10-10 06:18:47.999999956,4.2
2002-10-28 18:36:47.999999939,4.0
2003-10-07 02:39:12.000000025,3.7
2004-09-29 01:20:00.000000000,3.8
2005-09-25 15:40:23.999999991,3.5
2006-10-10 12:18:48.000000034,3.4
2007-10-07 02:39:12.000000025,3.2
2008-10-31 22:16:24.000000034,3.5
2009-11-15 18:54:48.000000008,3.7
2010-11-08 17:35:35.999999982,3.9
2011-11-30 21:33:12.000000060,4.4
2012-10-31 22:16:23.999999956,4.2
2013-11-23 02:14:00.000000034,4.4
2014-11-16 00:54:48.000000008,4.7
2015-11-27 05:53:36.000000043,5.0
2016-12-03 19:12:48.000000069,4.4
2017-10-21 05:17:35.999999922,3.9
2018-10-25 02:57:11.999999930,4.3
2019-11-27 05:53:35.999999887,4.8
2020-10-20 23:17:36.000000077,5.0
2021-12-07 16:52:23.999999922,5.1
2021-12-07 16:52:23.999999922,5.1
2022-11-08 17:35:35.999999982,4.9
